region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
PA-708,Potatoes,Tulare Lake,0.65,339.9763888,444.581011,23.95,330.22333607996245,419.3650083377822,386.96777045415877,3619971.767239552,3516124.039414828,3,Good,995.1224843622244
PA-708,Safflower,Tulare Lake,0.65,15.49429538,565.3467595,1.069333333,3.9599393378965237e-16,37.06712335220347,2.442855765242476e-08,9366.985392310376,2.393958100243211e-13,3,Good,995.1224843622244
PA-708,Tomato Processing,Tulare Lake,0.65,766.0172503,100.1550886,56.328,547.2129252852194,1700.7161993979078,1154.1792081909164,4321513.7644717125,3087121.3249972765,3,Good,995.1224843622244
PA-708,Truck Crops,Tulare Lake,0.65,783.1658511,1276.630474,15.81926667,761.8282487440636,1445.2186432370322,1335.5510288506605,15816314.663704086,15385394.147243273,3,Good,995.1224843622244
PA-708,Vineyard,Tulare Lake,0.65,10844.70239,1575.156004,12.05608017,10563.740803660505,43475.5007096152,40231.691448273894,205943143.93877026,200607625.23701823,3,Good,995.1224843622244
PA-708,Alfalfa,Tulare Lake,0.7,13617.37082,277.7988945,8.566,6.827609229122556e-18,61612.21555569106,5.674205764205518e-08,32404240.53518306,1.6247151866921335e-14,12,Good,861.0738636460744
PA-708,Almonds & Pistachios,Tulare Lake,0.7,266819.4854,5254.957539,1.2765,206686.1345748811,1005313.8636349537,739808.0856573469,1789812647.201941,1386440938.1827126,12,Good,861.0738636460744
PA-708,Citrus & Subtropical,Tulare Lake,0.7,5028.220857,1062.045455,16.13,4922.016651510139,18144.001651780334,16872.73210686256,86137411.61063756,84318049.33057277,12,Good,861.0738636460744
PA-708,Corn,Tulare Lake,0.7,11459.7622,253.0253431,19.8995,10176.11190702872,26133.269616940786,22045.686060314434,57700794.41860702,51237515.3062254,12,Good,861.0738636460744
PA-708,Cotton,Tulare Lake,0.7,6101.235793,3766.024208,0.776,2.01583025981376e-17,22875.373797909342,5.674205772182025e-08,17830463.715439565,5.89113247275778e-14,12,Good,861.0738636460744
PA-708,Cucurbits,Tulare Lake,0.7,302.5489449,829.3999693,16.1025,300.63548921048454,738.864529795333,697.4820301814615,4040666.113564128,4015111.122562632,12,Good,861.0738636460744
PA-708,Dry Beans,Tulare Lake,0.7,75.7249257,1204.529622,1.604,3.9322695061760215e-17,145.37535938161253,5.674205776106858e-08,146305.51747155614,7.597402303409634e-14,12,Good,861.0738636460744
PA-708,Grain,Tulare Lake,0.7,7474.609625,299.3468083,2.38,3310.805663443216,5348.266748150671,2250.514587975086,5325251.27218666,2358768.277642832,12,Good,861.0738636460744
PA-708,Lettuce,Tulare Lake,0.7,162.0540372,684.769363,16.01225,156.1796239826792,372.84786991341724,341.36562429320344,1776873.6152882138,1712462.447066126,12,Good,861.0738636460744
PA-708,Onions & Garlic,Tulare Lake,0.7,986.5654233,2882.549818,7.8,976.4455296864788,1236.787904075948,1162.8962262440068,22181827.05475236,21954292.494300447,12,Good,861.0738636460744
PA-708,Other Deciduous,Tulare Lake,0.7,9187.34411,2358.861787,3.868333333,8792.62993312782,32175.665617299666,29253.642694652568,83833262.57206555,80231549.51609924,12,Good,861.0738636460744
PA-708,Pasture,Tulare Lake,0.7,300.5043649,167.5,5.0,6.693677761221567e-18,1432.8631971367608,5.674205763656092e-08,251672.40560375,5.6059551250230625e-15,12,Good,861.0738636460744
PA-708,Potatoes,Tulare Lake,0.7,339.9763888,444.581011,23.95,332.5288511567882,419.3650083377822,389.6694572918681,3619971.767239552,3540672.5073731844,12,Good,861.0738636460744
PA-708,Safflower,Tulare Lake,0.7,15.49429538,565.3467595,1.069333333,2.008073616923664e-17,37.06712335220347,5.674205767440724e-08,9366.985392310376,1.213969127030275e-14,12,Good,861.0738636460744
PA-708,Tomato Processing,Tulare Lake,0.7,766.0172503,100.1550886,56.328,592.1125093749116,1700.7161993979078,1248.8812227739502,4321513.7644717125,3340423.937421043,12,Good,861.0738636460744
PA-708,Truck Crops,Tulare Lake,0.7,783.1658511,1276.630474,15.81926667,765.9127314427669,1445.2186432370322,1342.711481493751,15816314.663704086,15467881.737209575,12,Good,861.0738636460744
PA-708,Vineyard,Tulare Lake,0.7,10844.70239,1575.156004,12.05608017,10610.931857296346,43475.5007096152,40411.41716709398,205943143.93877026,201503793.11715388,12,Good,861.0738636460744
PA-708,Alfalfa,Tulare Lake,0.75,13617.37082,277.7988945,8.566,5.074042221319935e-19,61612.21555569106,2.0037693284480066e-09,32404240.53518306,1.2074319396798635e-15,9,Good,707.337874076923
PA-708,Almonds & Pistachios,Tulare Lake,0.75,266819.4854,5254.957539,1.2765,222542.5003114885,1005313.8636349537,796564.03401401,1789812647.201941,1492804699.0283418,9,Good,707.337874076923
PA-708,Citrus & Subtropical,Tulare Lake,0.75,5028.220857,1062.045455,16.13,4946.17691618827,18144.001651780334,16955.55378385309,86137411.61063756,84731933.82816896,9,Good,707.337874076923
PA-708,Corn,Tulare Lake,0.75,11459.7622,253.0253431,19.8995,10531.962872503871,26133.269616940786,22816.607089895642,57700794.41860702,53029252.60794222,9,Good,707.337874076923
PA-708,Cotton,Tulare Lake,0.75,6101.235793,3766.024208,0.776,3.4227406457988108e-09,22875.373797909342,2.2390758151233263e-08,17830463.715439565,1.0002736324712288e-05,9,Good,707.337874076923
PA-708,Cucurbits,Tulare Lake,0.75,302.5489449,829.3999693,16.1025,301.1083201145887,738.864529795333,698.5790099227837,4040666.113564128,4021425.9745687796,9,Good,707.337874076923
PA-708,Dry Beans,Tulare Lake,0.75,75.7249257,1204.529622,1.604,1.1963297281829957e-18,145.37535938161253,2.0037693389852938e-09,146305.51747155614,2.3113874108221054e-15,9,Good,707.337874076923
PA-708,Grain,Tulare Lake,0.75,7474.609625,299.3468083,2.38,7549.355765577033,5348.266748150671,5131.6618994876635,5325251.27218666,5378503.816489117,9,Good,707.337874076923
