region,crop,hr,Shortage_%,xland,p,y,xlandsc,xwater,xwatersc,grev,grevsc,iterations,statussc,lambdawater
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.8,52.20934812,574.0,1.3,2.6531184095990073e-21,125.59767726324469,2.6531184095985645e-08,38958.61556714401,1.9797569572427793e-18,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,0.8,750.894725,101.0,43.3,654.9418656998564,1786.8747878138583,1554.6431597201556,3283887.9008424995,2864257.2612651815,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,0.8,43.2080525,555.0,22.8,41.008422540095545,115.26753339094934,109.12600885646187,546754.696335,518920.57882236905,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Vineyard,San Joaquin River,0.8,351.735675,1689.181611,10.69211111,338.8587901640698,1089.8475423605726,1047.3238318747963,6352668.997352641,6120100.643063033,2,Good,198.85339240645754
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,0.85,692.4817265,281.0,6.7,58.194787601952314,2863.3879501255306,240.0318448372165,1303735.34648155,109563.32661819563,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,0.85,6944.405664,4883.344789,1.202182209,5899.522680998561,28639.45369734431,24269.421367621988,40768315.567165144,34634152.14946715,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,0.85,160.6387081,933.0,3.6,155.82446024424294,521.6687197067006,504.7695226564107,539553.29276628,523383.1970683632,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Corn,San Joaquin River,0.85,282.9171526,59.0,27.1,261.57795829126763,683.4795368215509,630.3478612632372,452356.23529214005,418236.99751190783,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,0.85,324.6611668,203.0,12.0,324.30036126559696,746.5996259320906,743.9054756055291,790874.6023248,789995.6800429942,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,0.85,1248.750059,1752.0,1.3,717.896060565436,2762.36170131648,1584.0886875768858,2844153.1343783997,1635080.0675438368,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Grain,San Joaquin River,0.85,72.81367026,164.0,2.5,73.54180765822908,33.97899734514724,34.232990002307986,29853.604806599997,30152.141139873922,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.85,5966.793346,1941.520674,2.07538957,5830.01442013471,20560.59844055851,20039.057128809054,24042667.2585236,23491528.646565136,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.85,8.53927993,276.0,5.0,4.813872391512536,39.282284924693066,22.08935148069624,11784.206303399998,6643.143900287299,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.85,52.20934812,574.0,1.3,41.1720140692009,125.59767726324469,98.79804478464426,38958.61556714401,30722.556898437713,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,0.85,750.894725,101.0,43.3,693.2670716350037,1786.8747878138583,1645.6161489138146,3283887.9008424995,3031864.8843813613,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,0.85,43.2080525,555.0,22.8,41.43390568528558,115.26753339094934,110.2582464776033,546754.696335,524304.6425416038,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Vineyard,San Joaquin River,0.85,351.735675,1689.181611,10.69211111,339.89359750287343,1089.8475423605726,1050.5221505486422,6352668.997352641,6138790.21300629,2,Good,100.95243625900356
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,0.9,692.4817265,281.0,6.7,415.9635580764547,2863.3879501255306,1715.6948985355152,1303735.34648155,783134.5907905413,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,0.9,6944.405664,4883.344789,1.202182209,6086.08511930941,28639.45369734431,25036.90081838953,40768315.567165144,35729398.70130173,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,0.9,160.6387081,933.0,3.6,157.60155041869336,521.6687197067006,510.52613471865413,539553.29276628,529352.0875463072,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Corn,San Joaquin River,0.9,282.9171526,59.0,27.1,275.1697483489621,683.4795368215509,663.1012165598836,452356.23529214005,439968.91063515557,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,0.9,324.6611668,203.0,12.0,325.4621467261801,746.5996259320906,746.5704698347038,790874.6023248,792825.7894249747,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,0.9,1248.750059,1752.0,1.3,913.3772330852811,2762.36170131648,2015.4317900891574,2844153.1343783997,2080307.9860750362,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Grain,San Joaquin River,0.9,72.81367026,164.0,2.5,73.5418076626397,33.97899734514724,34.23299005200035,29853.604806599997,30152.141141682278,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.9,5966.793346,1941.520674,2.07538957,5884.15177109989,20560.59844055851,20225.139253305275,24042667.2585236,23709670.325024012,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.9,8.53927993,276.0,5.0,7.527323845190083,39.282284924693066,34.54052967349693,11784.206303399998,10387.706906362315,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.9,52.20934812,574.0,1.3,52.73144202030878,125.59767726324469,126.53651975205837,38958.61556714401,39348.202035554415,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,0.9,750.894725,101.0,43.3,715.9448753167405,1786.8747878138583,1699.4467165722604,3283887.9008424995,3131041.723222701,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,0.9,43.2080525,555.0,22.8,41.69474683579384,115.26753339094934,110.95236136605162,546754.696335,527605.3264601353,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Vineyard,San Joaquin River,0.9,351.735675,1689.181611,10.69211111,340.5286871039304,1089.8475423605726,1052.485046336049,6352668.997352641,6150260.513876895,2,Good,39.76153364709968
BANTA-CARBONA I.D.,Alfalfa,San Joaquin River,0.95,692.4817265,281.0,6.7,604.4552351575728,2863.3879501255306,2493.1529294855804,1303735.34648155,1138007.8712311625,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Almonds & Pistachios,San Joaquin River,0.95,6944.405664,4883.344789,1.202182209,6200.92416641932,28639.45369734431,25509.325008459466,40768315.567165144,36403580.87592322,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Citrus & Subtropical,San Joaquin River,0.95,160.6387081,933.0,3.6,158.68018397230028,521.6687197067006,514.0202033926112,539553.29276628,532975.0019261623,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Corn,San Joaquin River,0.95,282.9171526,59.0,27.1,282.96185908451497,683.4795368215509,681.8785646138114,452356.23529214005,452427.716490231,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Cucurbits,San Joaquin River,0.95,324.6611668,203.0,12.0,326.1748122548731,746.5996259320906,748.2052379675127,790874.6023248,794561.8426528708,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Dry Beans,San Joaquin River,0.95,1248.750059,1752.0,1.3,1031.285211097461,2762.36170131648,2275.604124883187,2844153.1343783997,2348855.1967955767,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Grain,San Joaquin River,0.95,72.81367026,164.0,2.5,73.54180766501679,33.97899734514724,34.232990158555516,29853.604806599997,30152.141142656885,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Other Deciduous,San Joaquin River,0.95,5966.793346,1941.520674,2.07538957,5917.407243485469,20560.59844055851,20339.44571362331,24042667.2585236,23843670.31643104,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Pasture,San Joaquin River,0.95,8.53927993,276.0,5.0,8.624667047649014,39.282284924693066,39.575893756250395,11784.206303399998,11902.04052575564,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Safflower,San Joaquin River,0.95,52.20934812,574.0,1.3,52.73144207784968,125.59767726324469,126.53651999466729,38958.61556714401,39348.202078491435,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Tomato Processing,San Joaquin River,0.95,750.894725,101.0,43.3,730.1997228344742,1786.8747878138583,1733.283614904777,3283887.9008424995,3193382.4478720054,2,Good,6.850974544770842e-09
BANTA-CARBONA I.D.,Truck Crops,San Joaquin River,0.95,43.2080525,555.0,22.8,41.86220439721009,115.26753339094934,111.39797679302644,546754.696335,529724.3344422965,2,Good,6.850974544770842e-09
